Ligand	Receptor	Source
TAC3	TACR3	Ramilowski et al. 2015
TAC4	TACR1	Ramilowski et al. 2015
TAC4	TACR3	Ramilowski et al. 2015
TDGF1	ACVR2A	Ramilowski et al. 2015
TFPI	LRP1	Ramilowski et al. 2015
TFPI	VLDLR	Ramilowski et al. 2015
TF	TFRC	Ramilowski et al. 2015
TGFA	EGFR	Ramilowski et al. 2015
TGFB1	ACVRL1	Ramilowski et al. 2015
TGFB1	TGFBR1	Ramilowski et al. 2015
TGFB1	TGFBR2	Ramilowski et al. 2015
TGFB1	TGFBR3	Ramilowski et al. 2015
TGFB2	TGFBR1	Ramilowski et al. 2015
TGFB2	TGFBR2	Ramilowski et al. 2015
TGFB2	TGFBR3	Ramilowski et al. 2015
TGFB3	ACVRL1	Ramilowski et al. 2015
TGFB3	TGFBR1	Ramilowski et al. 2015
TGFB3	TGFBR2	Ramilowski et al. 2015
TGFB3	TGFBR3	Ramilowski et al. 2015
THBS1	CD36	Ramilowski et al. 2015
THBS1	CD47	Ramilowski et al. 2015
THBS1	SDC1	Ramilowski et al. 2015
THBS2	CD47	Ramilowski et al. 2015
THPO	MPL	Ramilowski et al. 2015
TNFSF10	TNFRSF10A	Ramilowski et al. 2015
TNFSF10	TNFRSF10B	Ramilowski et al. 2015
TNFSF10	TNFRSF10C	Ramilowski et al. 2015
TNFSF10	TNFRSF10D	Ramilowski et al. 2015
TNFSF10	TNFRSF11B	Ramilowski et al. 2015
TNFSF11	TNFRSF11A	Ramilowski et al. 2015
TNFSF11	TNFRSF11B	Ramilowski et al. 2015
TNFSF12	TNFRSF12A	Ramilowski et al. 2015
TNFSF12	TNFRSF25	Ramilowski et al. 2015
TNFSF13B	TNFRSF13B	Ramilowski et al. 2015
TNFSF13B	TNFRSF13C	Ramilowski et al. 2015
TNFSF13B	TNFRSF17	Ramilowski et al. 2015
TNFSF13	TNFRSF13B	Ramilowski et al. 2015
TNFSF13	TNFRSF17	Ramilowski et al. 2015
TNFSF14	LTBR	Ramilowski et al. 2015
TNFSF14	TNFRSF14	Ramilowski et al. 2015
TNFSF14	TNFRSF6B	Ramilowski et al. 2015
TNFSF15	TNFRSF25	Ramilowski et al. 2015
TNFSF18	TNFRSF18	Ramilowski et al. 2015
TNFSF4	TNFRSF4	
TNFSF8	TNFRSF8	Ramilowski et al. 2015
TNF	TNFRSF1A	Ramilowski et al. 2015
TNF	TNFRSF1B	Ramilowski et al. 2015
TNF	TNFRSF21	Ramilowski et al. 2015
TRH	TRHR	Ramilowski et al. 2015
TSHB	TSHR	Ramilowski et al. 2015
UCN2	CRHR1	Ramilowski et al. 2015
UCN2	CRHR2	Ramilowski et al. 2015
UCN3	CRHR2	Ramilowski et al. 2015
UCN	CRHR1	Ramilowski et al. 2015
UCN	CRHR2	Ramilowski et al. 2015
ULBP2	KLRK1	Ramilowski et al. 2015
UTS2B	UTS2R	Ramilowski et al. 2015
UTS2	UTS2R	Ramilowski et al. 2015
VCAM1	ITGA4	Ramilowski et al. 2015
VCAM1	ITGAD	Ramilowski et al. 2015
VCAM1	ITGB1	Ramilowski et al. 2015
VCAM1	ITGB2	Ramilowski et al. 2015
VEGFA	FLT1	Ramilowski et al. 2015
VEGFA	KDR	Ramilowski et al. 2015
VEGFA	NRP1	Ramilowski et al. 2015
VEGFA	NRP2	Ramilowski et al. 2015
VEGFB	FLT1	Ramilowski et al. 2015
VEGFB	NRP1	Ramilowski et al. 2015
VEGFC	FLT4	Ramilowski et al. 2015
VEGFC	KDR	Ramilowski et al. 2015
VEGFC	NRP2	Ramilowski et al. 2015
VEGFC	VIPR2	Ramilowski et al. 2015
VIP	ADCYAP1R1	Ramilowski et al. 2015
VIP	SCTR	Ramilowski et al. 2015
VIP	VIPR1	Ramilowski et al. 2015
VIP	VIPR2	Ramilowski et al. 2015
VTN	ITGA5	Ramilowski et al. 2015
VTN	ITGB3	Ramilowski et al. 2015
WNT11	FZD7	Ramilowski et al. 2015
WNT1	FZD3	Ramilowski et al. 2015
WNT1	FZD8	Ramilowski et al. 2015
WNT1	FZD9	Ramilowski et al. 2015
WNT1	RYK	Ramilowski et al. 2015
WNT3A	FZD6	Ramilowski et al. 2015
WNT3	FZD8	Ramilowski et al. 2015
WNT3	LRP6	Ramilowski et al. 2015
WNT3	RYK	Ramilowski et al. 2015
WNT4	FZD2	Ramilowski et al. 2015
WNT4	FZD6	Ramilowski et al. 2015
WNT5A	FZD2	Ramilowski et al. 2015
WNT5A	FZD4	Ramilowski et al. 2015
WNT5A	FZD6	Ramilowski et al. 2015
WNT5A	FZD7	Ramilowski et al. 2015
WNT5A	RYK	Ramilowski et al. 2015
WNT7A	FZD5	Ramilowski et al. 2015
WNT7B	FZD1	Ramilowski et al. 2015
WNT7B	FZD10	Ramilowski et al. 2015
WNT7B	LRP5	Ramilowski et al. 2015
XCL1	XCR1	Ramilowski et al. 2015
XCL2	XCR1	Ramilowski et al. 2015
YARS	CXCR1	Ramilowski et al. 2015
ZP3	MERTK	Ramilowski et al. 2015
SCYL2	CCR1	Ramilowski et al. 2015
SCYL3	CCR1	Ramilowski et al. 2015
SCYL3	CCR3	Ramilowski et al. 2015
TPO	MPL	Ramilowski et al. 2015
PLEKHO2	PDGFRB	Ramilowski et al. 2015
DTL	TNFRSF17	Ramilowski et al. 2015
DTL	TNFRSF13B	Ramilowski et al. 2015
CD58	CD2	Ramilowski et al. 2015
HLA-A	CD8A	Ramilowski et al. 2015
PVR	CD226	Ramilowski et al. 2015
CNTN1	NRCAM	Ramilowski et al. 2015
ALCAM	CD6	Ramilowski et al. 2015
PTPRC	CD22	Ramilowski et al. 2015
JAM2	JAM3	Ramilowski et al. 2015
ICOSLG	CD28	Ramilowski et al. 2015
ICOSLG	CTLA4	Ramilowski et al. 2015
COL1A1	CD44	Ramilowski et al. 2015
LAMC3	CD44	Ramilowski et al. 2015
COL1A1	SDC1	Ramilowski et al. 2015
FN1	SDC1	Ramilowski et al. 2015
COMP	SDC1	Ramilowski et al. 2015
TNC	SDC1	Ramilowski et al. 2015
COMP	CD36	Ramilowski et al. 2015
COL1A1	GP6	Ramilowski et al. 2015
COMP	CD47	Ramilowski et al. 2015
DLK1	NOTCH2	Ramilowski et al. 2015
DLK1	NOTCH3	Ramilowski et al. 2015
DLK1	NOTCH4	Ramilowski et al. 2015
JAG2	NOTCH4	Ramilowski et al. 2015
DLL3	NOTCH1	Ramilowski et al. 2015
DLL3	NOTCH2	Ramilowski et al. 2015
DLL3	NOTCH3	Ramilowski et al. 2015
DLL3	NOTCH4	Ramilowski et al. 2015
EFNA2	EPHA1	Ramilowski et al. 2015
EFNA4	EPHA1	Ramilowski et al. 2015
EFNA5	EPHA1	Ramilowski et al. 2015
EFNB1	EPHA4	Ramilowski et al. 2015
EFNB3	EPHB1	Ramilowski et al. 2015
EFNB3	EPHB6	Ramilowski et al. 2015
TNF	LTBR	Ramilowski et al. 2015
FGF12	FGFR1	Ramilowski et al. 2015
FGF12	FGFR2	Ramilowski et al. 2015
FGF12	FGFR3	Ramilowski et al. 2015
FGF12	FGFR4	Ramilowski et al. 2015
FGF13	FGFR1	Ramilowski et al. 2015
FGF13	FGFR2	Ramilowski et al. 2015
FGF13	FGFR3	Ramilowski et al. 2015
FGF13	FGFR4	Ramilowski et al. 2015
FGF14	FGFR1	Ramilowski et al. 2015
FGF14	FGFR2	Ramilowski et al. 2015
FGF14	FGFR3	Ramilowski et al. 2015
FGF14	FGFR4	Ramilowski et al. 2015
FGF16	FGFR1	Ramilowski et al. 2015
CLEC11A	KIT	Ramilowski et al. 2015
MDK	PTPRB	Ramilowski et al. 2015
PTN	SDC3	Ramilowski et al. 2015
BMP3	BMPR1A	Ramilowski et al. 2015
BMP3	BMPR1B	Ramilowski et al. 2015
BMP3	BMPR2	Ramilowski et al. 2015
BMP3	ACVR1	Ramilowski et al. 2015
BMP3	ACVR2A	Ramilowski et al. 2015
BMP4	ACVR1	Ramilowski et al. 2015
BMP4	ACVR2A	Ramilowski et al. 2015
BMP4	ACVR2B	Ramilowski et al. 2015
BMP5	BMPR1B	Ramilowski et al. 2015
BMP5	BMPR2	Ramilowski et al. 2015
BMP5	ACVR1	Ramilowski et al. 2015
BMP5	ACVR2A	Ramilowski et al. 2015
BMP5	ACVR2B	Ramilowski et al. 2015
BMP6	ACVR2B	Ramilowski et al. 2015
BMP8B	BMPR1A	Ramilowski et al. 2015
BMP8B	BMPR1B	Ramilowski et al. 2015
BMP8B	BMPR2	Ramilowski et al. 2015
BMP8B	ACVR1	Ramilowski et al. 2015
BMP8B	ACVR2A	Ramilowski et al. 2015
BMP8B	ACVR2B	Ramilowski et al. 2015
BMP10	ACVR1	Ramilowski et al. 2015
BMP10	ACVR2B	Ramilowski et al. 2015
BMP15	ACVR1	Ramilowski et al. 2015
BMP15	ACVR2B	Ramilowski et al. 2015
INHA	ACVR1	Ramilowski et al. 2015
INHA	ACVR1B	Ramilowski et al. 2015
INHA	ACVR2B	Ramilowski et al. 2015
IL17A	IL17RB	Ramilowski et al. 2015
IL17B	IL17RA	Ramilowski et al. 2015
IL17B	IL17RC	Ramilowski et al. 2015
MADCAM1	SELL	Ramilowski et al. 2015
GLG1	SELE	Ramilowski et al. 2015
NECTIN2	CD226	Khalil et al. 2016 [doi: 10.1038/nrclinonc.2016.25]
NECTIN2	TIGIT	"Manieri, Chiang, & Grogan, 2017 [doi: 10.1016/j.it.2016.10.002]"
PVR	TIGIT	"Manieri, Chiang, & Grogan, 2017 [doi: 10.1016/j.it.2016.10.002]"
SIGLEC1	SPN	van den Berg TK et al. 2001 [DOI: 10.4049/jimmunol.166.6.3637]
IFNG	IFNGR2	"Zaidi, M.R., 2019 [doi: 10.1089/jir.2018.0087]; Ramilowski et al. 2015"
IFNG	IFNGR1	"Zaidi, M.R., 2019 [doi: 10.1089/jir.2018.0087]; Ramilowski et al. 2015"
FASLG	FAS	"Abrahams, V.M., Kamsteeg, M. and Mor, G., 2003 [DOI: 10.1385/MB:25:1:19]; Ramilowski et al. 2015"
CD274	PDCD1	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Khalil et al. 2016 [doi: 10.1038/nrclinonc.2016.25]"
PDCD1LG2	PDCD1	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
CD80	CD28	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Khalil et al. 2016 [doi: 10.1038/nrclinonc.2016.25]"
CD86	CD28	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
CD80	CTLA4	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Khalil et al. 2016 [doi: 10.1038/nrclinonc.2016.25]"
CD86	CTLA4	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
ICOSLG	ICOS	"Marinelli, O., et al., 2018 [DOI: 10.2174/1389203719666180608093913]; Ramilowski et al. 2015"
HHLA2	TMIGD2	"Ni, L. and Dong, C., 2017 [DOI: 10.1158/1535-7163.MCT-16-0761]"
NCR3LG1	NCR3	"Ni, L. and Dong, C., 2017 [DOI: 10.1158/1535-7163.MCT-16-0761]"
BTLA	TNFRSF14	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
TNFSF9	TNFRSF9	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
TNFSF4	TNFRSF4	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
CD70	CD27	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
CD40LG	CD40	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]; Ramilowski et al. 2015"
LGALS9	HAVCR2	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DRB1	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DRA	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DQB1	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DQA1	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DPB1	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DPA1	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DRB5	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DQA2	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
HLA-DQB2	LAG3	"Pardoll, D.M., 2012 [DOI: 10.1038/nrc3239]"
