Ligand	Receptor	Source
AVP	AVPR1A	Ramilowski et al. 2015
AVP	AVPR1B	Ramilowski et al. 2015
AVP	AVPR2	Ramilowski et al. 2015
AVP	OXTR	Ramilowski et al. 2015
BDNF	NGFR	Ramilowski et al. 2015
BDNF	NTRK2	Ramilowski et al. 2015
BMP10	ACVR2A	Ramilowski et al. 2015
BMP10	ACVRL1	Ramilowski et al. 2015
BMP10	BMPR1A	Ramilowski et al. 2015
BMP10	BMPR1B	Ramilowski et al. 2015
BMP10	BMPR2	Ramilowski et al. 2015
BMP15	ACVR2A	Ramilowski et al. 2015
BMP15	BMPR1A	Ramilowski et al. 2015
BMP15	BMPR1B	Ramilowski et al. 2015
BMP15	BMPR2	Ramilowski et al. 2015
BMP2	ACVR1	Ramilowski et al. 2015
BMP2	ACVR2A	Ramilowski et al. 2015
BMP2	ACVR2B	Ramilowski et al. 2015
BMP2	BMPR1A	Ramilowski et al. 2015
BMP2	BMPR1B	Ramilowski et al. 2015
BMP2	BMPR2	Ramilowski et al. 2015
BMP3	ACVR2B	Ramilowski et al. 2015
BMP4	BMPR1A	Ramilowski et al. 2015
BMP4	BMPR1B	Ramilowski et al. 2015
BMP4	BMPR2	Ramilowski et al. 2015
BMP5	BMPR1A	Ramilowski et al. 2015
BMP6	ACVR1	Ramilowski et al. 2015
BMP6	ACVR2A	Ramilowski et al. 2015
BMP6	BMPR1A	Ramilowski et al. 2015
BMP6	BMPR1B	Ramilowski et al. 2015
BMP6	BMPR2	Ramilowski et al. 2015
BMP7	ACVR1	Ramilowski et al. 2015
BMP7	ACVR2A	Ramilowski et al. 2015
BMP7	ACVR2B	Ramilowski et al. 2015
BMP7	BMPR1A	Ramilowski et al. 2015
BMP7	BMPR1B	Ramilowski et al. 2015
BMP7	BMPR2	Ramilowski et al. 2015
BTC	EGFR	Ramilowski et al. 2015
BTC	ERBB3	Ramilowski et al. 2015
BTC	ERBB4	Ramilowski et al. 2015
C3	C3AR1	Ramilowski et al. 2015
C3	ITGAX	Ramilowski et al. 2015
C3	ITGB2	Ramilowski et al. 2015
C3	LRP1	Ramilowski et al. 2015
C5	C5AR1	Ramilowski et al. 2015
C5	C5AR2	Ramilowski et al. 2015
CALCA	CALCR	Ramilowski et al. 2015
CALCA	CALCRL	Ramilowski et al. 2015
CALCA	RAMP1	Ramilowski et al. 2015
CALCB	CALCR	Ramilowski et al. 2015
CALCB	CALCRL	Ramilowski et al. 2015
CALCB	RAMP1	Ramilowski et al. 2015
CALR	SCARF1	Ramilowski et al. 2015
CAMP	FPR2	Ramilowski et al. 2015
CCK	CCKAR	Ramilowski et al. 2015
CCK	CCKBR	Ramilowski et al. 2015
CCL11	ACKR2	Ramilowski et al. 2015
CCL11	CCR2	Ramilowski et al. 2015
CCL11	CCR3	Ramilowski et al. 2015
CCL11	CCR5	Ramilowski et al. 2015
CCL11	CXCR3	Ramilowski et al. 2015
CCL13	ACKR2	Ramilowski et al. 2015
CCL13	CCR1	Ramilowski et al. 2015
CCL13	CCR2	Ramilowski et al. 2015
CCL13	CCR3	Ramilowski et al. 2015
CCL13	CCR5	Ramilowski et al. 2015
CCL13	CXCR3	Ramilowski et al. 2015
CCL14	ACKR2	Ramilowski et al. 2015
CCL14	CCR1	Ramilowski et al. 2015
CCL14	CCR5	Ramilowski et al. 2015
CCL15	CCR1	Ramilowski et al. 2015
CCL15	CCR3	Ramilowski et al. 2015
CCL16	CCR1	Ramilowski et al. 2015
CCL16	CCR2	Ramilowski et al. 2015
CCL16	CCR5	Ramilowski et al. 2015
CCL16	HRH4	Ramilowski et al. 2015
CCL17	CCR4	Ramilowski et al. 2015
CCL17	CCR8	Ramilowski et al. 2015
CCL19	ACKR4	Ramilowski et al. 2015
CCL19	CCR7	Ramilowski et al. 2015
CCL19	CCRL2	Ramilowski et al. 2015
CCL19	CXCR3	Ramilowski et al. 2015
CCL1	CCR8	Ramilowski et al. 2015
CCL20	CCR6	Ramilowski et al. 2015
CCL20	CXCR3	Ramilowski et al. 2015
CCL21	ACKR4	Ramilowski et al. 2015
CCL21	CCR7	Ramilowski et al. 2015
CCL21	CXCR3	Ramilowski et al. 2015
CCL22	CCR4	Ramilowski et al. 2015
CCL23	CCR1	Ramilowski et al. 2015
CCL24	CCR2	Ramilowski et al. 2015
CCL24	CCR3	Ramilowski et al. 2015
CCL25	ACKR4	Ramilowski et al. 2015
CCL25	CCR9	Ramilowski et al. 2015
CCL26	CCR2	Ramilowski et al. 2015
